Manufacturer,MFR Part #,Product Description,Retail / MSRP, Dealer Actual Cost ,Dealers Discount from list,Proposed GSA Price ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Mobile Pro,MPS-010,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics, 150 Solar System PS Kit","$14,670.45 ","$9,780.30 ",33%,"$11,927.20 ",19%,"$12,017.33 ",USA,1 Year
Mobile Pro,MPS-011,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 150 Solar System PS Kit","$11,812.95 ","$7,875.30 ",33%,"$9,604.02 ",19%,"$9,676.60 ",USA,1 Year
Mobile Pro,MPS-012,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 150 Solar System PS Kit","$16,810.05 ","$11,206.70 ",33%,"$13,666.71 ",19%,"$13,769.98 ",USA,1 Year
Mobile Pro,MPS-013,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, 150 Solar System PS Kit","$16,810.05 ","$11,206.70 ",33%,"$13,666.71 ",19%,"$13,769.98 ",USA,1 Year
Mobile Pro,MPS-014,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, 150 Solar System PS Kit","$17,995.05 ","$11,996.70 ",33%,"$14,630.12 ",19%,"$14,740.68 ",USA,1 Year
Mobile Pro,MPS-015,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$15,291.30 ","$10,194.20 ",33%,"$12,431.95 ",19%,"$12,525.90 ",USA,1 Year
Mobile Pro,MPS-016,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12 VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$12,467.70 ","$8,311.80 ",33%,"$10,136.34 ",19%,"$10,212.94 ",USA,1 Year
Mobile Pro,MPS-017,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$8,850.45 ","$5,900.30 ",33%,"$7,195.49 ",19%,"$7,249.86 ",USA,1 Year
Mobile Pro,MPS-018,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$10,294.20 ","$6,862.80 ",33%,"$8,369.27 ",19%,"$8,432.51 ",USA,1 Year
Mobile Pro,MPS-019,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC 17W, Stock Camera mount, Camera Mount w/ Axis Hub, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR Bar w/ Electronics","$23,455.17 ","$15,636.78 ",33%,"$19,069.24 ",19%,"$19,213.34 ",USA,1 Year
