Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list, Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List, Proposed GSA Price (with IFF of .75%) ,Country of Origin,Warranty
LRG TECH,MPS-PS-015,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$8,850.45 ","$5,900.30 ",33%,"$7,077.25 ",21%,"$7,024.17 ",USA,1 Year
LRG TECH,MPS-PS-016,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$10,294.20 ","$6,862.80 ",33%,"$8,231.74 ",21%,"$8,170.00 ",USA,1 Year
LRG TECH,MPS-PS-017,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC 17W, Stock Camera mount, Camera Mount w/ Hub, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR Bar w/ Electronics","$23,455.17 ","$15,636.78 ",33%,"$18,755.88 ",21%,"$18,615.21 ",USA,1 Year
LRG TECH,MPS-PS-018,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 3 IR LED Bar w/ Electronics","$18,658.14 ","$12,438.76 ",33%,"$14,919.95 ",21%,"$14,808.05 ",USA,1 Year
LRG TECH,MPS-PS-019,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, 3x Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Kit, LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics","$19,861.89 ","$13,241.26 ",33%,"$15,882.52 ",21%,"$15,763.40 ",USA,1 Year
LRG TECH,MPS-PS-020,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit","$12,935.70 ","$8,623.80 ",33%,"$10,344.01 ",21%,"$10,266.43 ",USA,1 Year
LRG TECH,MPS-PS-021,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit","$11,820.75 ","$7,880.50 ",33%,"$9,452.44 ",21%,"$9,381.55 ",USA,1 Year
LRG TECH,MPS-PS-022,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$11,506.95 ","$7,671.30 ",33%,"$9,201.51 ",21%,"$9,132.50 ",USA,1 Year
LRG TECH,MPS-PS-023,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws w/ Bit","$12,950.70 ","$8,633.80 ",33%,"$10,356.00 ",21%,"$10,278.33 ",USA,1 Year
LRG TECH,MPS-PS-024,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, 150 Solar System PS Kit","$11,339.03 ","$7,559.35 ",33%,"$9,067.23 ",21%,"$8,999.23 ",USA,1 Year
