Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
LRG TECH,PS-14-06,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed Thermal Imaging Camera 640r: Edge Camera Recording License: On-board Cellular, WiFi, Ethernet: 130 Watt Solar System","$19,095.00 ","$12,793.65 ",33%,"$15,230.54 ",20%,"$15,143.09 ",US,1 Year
LRG TECH,PS-14-07,"PowerSentry Control System with: Sgl Battery Section: 45ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License, On-board Cellular, WiFi, Ethernet","$10,987.50 ","$7,361.63 ",33%,"$8,763.84 ",20%,"$8,713.52 ",US,1 Year
LRG TECH,PS-14-08,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex RedWall: On-board Cellular, WiFi, Ethernet: Side Mt Light Kit","$13,027.50 ","$8,728.43 ",33%,"$10,390.98 ",20%,"$10,331.32 ",US,1 Year
LRG TECH,PS-14-09,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit","$13,245.00 ","$8,874.15 ",33%,"$10,564.46 ",20%,"$10,503.81 ",US,1 Year
LRG TECH,PS-14-10,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Hi Res PTZ Camera: Edge Camera Recording License: Optex RedWall: On-board Cellular, WiFi, Ethernet: HO Access Point & Antennas: RAYTECH VARIO i8-2","$16,117.50 ","$10,798.73 ",33%,"$12,855.63 ",20%,"$12,781.81 ",US,1 Year
LRG TECH,PS-14-11,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet","$14,535.00 ","$9,738.45 ",33%,"$11,593.39 ",20%,"$11,526.83 ",US,1 Year
LRG TECH,PS-14-12,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes","$14,550.00 ","$9,748.50 ",33%,"$11,605.36 ",20%,"$11,538.72 ",US,1 Year
LRG TECH,PS-14-13,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: Optex LX Motion Detection: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit","$16,710.00 ","$11,195.70 ",33%,"$13,328.21 ",20%,"$13,251.69 ",US,1 Year
LRG TECH,PS-14-14,"PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: Fixed 5 MP Camera: Hi Res PTZ Camera: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet: Red and Blue LED Strobes: Side Mt Light Kit: RAYTECH VARIO i8-2","$19,755.00 ","$13,235.85 ",33%,"$15,756.96 ",20%,"$15,666.50 ",US,1 Year
LRG TECH,PS-14-15,"PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: Fixed Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex Redwall: On-board Cellular, WiFi, Ethernet: Side Mt Light Kit","$20,220.00 ","$13,547.40 ",33%,"$16,127.86 ",20%,"$16,035.26 ",US,1 Year
LRG TECH,PS-14-16,"PowerSentry Control System with: LG Battery Section: 45ah Battery Pack: Fixed 5 MP Camera: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: On-board Cellular, WiFi, Ethernet","$20,782.50 ","$13,924.28 ",33%,"$16,576.52 ",20%,"$16,481.34 ",US,1 Year
LRG TECH,PS-14-17,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular, WiFi, Ethernet","$21,375.00 ","$14,321.25 ",33%,"$17,049.11 ",20%,"$16,951.22 ",US,1 Year
LRG TECH,PS-14-18,"PowerSentry Control System with: LG Battery Section: 90ah Battery Pack: 2 Fixed Thermal Imaging Cameras 640r: PTZ Thermal Imaging Camera 640r: 2 Edge Camera Recording Licenses: Optex RedWall: On-board Cellular, WiFi, Ethernet","$28,282.50 ","$18,949.28 ",33%,"$22,558.66 ",20%,"$22,429.14 ",US,1 Year
LRG TECH,PS-14-19,PowerSentry Control System with: LG Battery Section: 135ah Battery Pack: 2 Fixed 3 MP Cameras: ,"$15,802.50 ","$10,587.68 ",33%,"$12,604.38 ",20%,"$12,532.01 ",US,1 Year
