Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,5G110-JI5,JACK C5E+ 150PK JRPD IV,$838.24,$1.00 ,1%,$1.00 ,1%,$560.30,US,1 Year
Leviton,5G110-JL5,JACK C5E+ 150PK JRPD BL,$838.24,$1.00 ,1%,$1.00 ,1%,$560.30,US,1 Year
Leviton,5G110-JO5,JACK C5E+ 150PK JRPD OR,$838.24,$1.00 ,1%,$1.00 ,1%,$560.30,US,1 Year
Leviton,5G110-JW5,JACK C5E+ 150PK JRPD WH,$838.24,$1.00 ,1%,$1.00 ,1%,$560.30,US,1 Year
Leviton,5G110-RB5,JACK C5E+ BN,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RC5,JACK C5E+ CR,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RE5,JACK C5E+ BK,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RG5,JACK C5E+ GY,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RI5,JACK C5E+ IV,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RL5,JACK C5E+ BL,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RO5,JACK C5E+ OR,$5.56,$1.00 ,1%,$1.00 ,1%,$3.53,US,1 Year
Leviton,5G110-RP5,JACK C5E+ PU,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G110-RR5,JACK C5E+ RD,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G110-RT5,JACK C5E+ LA,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G110-RV5,JACK C5E+ GN,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G110-RW5,JACK C5E+ WH,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G110-RY5,JACK C5E+ YL,$5.56,$1.00 ,1%,$1.00 ,1%,$3.66,US,1 Year
Leviton,5G210-01S,PCORD 110 1PR 1' GY,$9.65,$1.00 ,1%,$1.00 ,1%,$5.48,US,1 Year
Leviton,5G240-01S,PCORD C5E 110 4PR 1',$16.71,$1.00 ,1%,$1.00 ,1%,$9.48,US,1 Year
Leviton,5G240-02S,PCORD C5E 110 4PR 2',$17.39,$1.00 ,1%,$1.00 ,1%,$9.86,US,1 Year
Leviton,5G240-03S,PCORD C5E 110 4PR 3',$18.05,$1.00 ,1%,$1.00 ,1%,$10.24,US,1 Year
Leviton,5G240-05S,PCORD C5E 110 4PR 5',$19.43,$1.00 ,1%,$1.00 ,1%,$11.02,US,1 Year
Leviton,5G240-07S,PCORD C5E 110 4PR 7',$20.75,$1.00 ,1%,$1.00 ,1%,$11.78,US,1 Year
Leviton,5G270-D48,PNL QP C5E 48PT 1U,$396.53,$1.00 ,1%,$1.00 ,1%,$228.66,US,1 Year
Leviton,5G270-U24,PNL QP C5E 24PT 1U,$180.61,$1.00 ,1%,$1.00 ,1%,$104.15,US,1 Year
Leviton,5G270-U48,PNL QP C5E 48PT 2U,$340.18,$1.00 ,1%,$1.00 ,1%,$196.15,US,1 Year
Leviton,5G34A-01S,PCORD C5E 110-T568A 1',$15.94,$1.00 ,1%,$1.00 ,1%,$9.04,US,1 Year
Leviton,5G34A-10S,PCORD C5E 110-T568A 10',$21.20,$1.00 ,1%,$1.00 ,1%,$12.03,US,1 Year
Leviton,5G34B-02S,PCORD C5E 110-T568B 2',$16.51,$1.00 ,1%,$1.00 ,1%,$9.36,US,1 Year
Leviton,5G34B-03S,PCORD C5E 110-T568B 3',$17.14,$1.00 ,1%,$1.00 ,1%,$9.72,US,1 Year
Leviton,5G34B-05S,PCORD C5E 110-T568B 5',$18.31,$1.00 ,1%,$1.00 ,1%,$10.38,US,1 Year
Leviton,5G34B-07S,PCORD C5E 110-T568B 7',$19.44,$1.00 ,1%,$1.00 ,1%,$11.02,US,1 Year
Leviton,5G34B-10S,PCORD C5E 110-T568B 10',$21.20,$1.00 ,1%,$1.00 ,1%,$12.03,US,1 Year
Leviton,5G596-A24,PNL 110 C5E 24PT 1U,$158.68,$1.00 ,1%,$1.00 ,1%,$91.50,US,1 Year
Leviton,5G596-A48,PNL 110 C5E 48PT 2U,$317.33,$1.00 ,1%,$1.00 ,1%,$182.98,US,1 Year
Leviton,5G596-C48,PNL 110 C5E 48PT 2U CEN,$317.33,$1.00 ,1%,$1.00 ,1%,$182.98,US,1 Year
Leviton,5G596-R24,PNL 110 C5E 24PT 1U REC,$200.51,$1.00 ,1%,$1.00 ,1%,$115.62,US,1 Year
Leviton,5G596-R48,PNL 48PT CAT5E REC,$400.98,$1.00 ,1%,$1.00 ,1%,$231.22,US,1 Year
Leviton,5G596-U12,PNL 110 C5E 12PT 1U,$118.44,$1.00 ,1%,$1.00 ,1%,$68.29,US,1 Year
Leviton,5G596-U24,PNL 110 C5E 24PT 1U,$158.68,$1.00 ,1%,$1.00 ,1%,$91.50,US,1 Year
Leviton,5G596-U48,PNL 110 C5E 48PT 2U,$317.31,$1.00 ,1%,$1.00 ,1%,$182.97,US,1 Year
Leviton,5G596-U89,PNL 110 C5E 12PT 89D,$101.70,$1.00 ,1%,$1.00 ,1%,$58.64,US,1 Year
Leviton,5G596-U96,PNL 110 C5E 96PT 4U,$599.15,$1.00 ,1%,$1.00 ,1%,$345.49,US,1 Year
Leviton,5G597-U24,PNL C5E 110 ANG 24PT,$182.48,$1.00 ,1%,$1.00 ,1%,$109.07,US,1 Year
Leviton,5G597-U48,PNL 110 C5E 48PT 2U ANG,$362.29,$1.00 ,1%,$1.00 ,1%,$208.91,US,1 Year
Leviton,5R100-0FR,CABLE MGMT RINGS 2PK,$11.59,$1.00 ,1%,$1.00 ,1%,$7.74,US,1 Year
Leviton,5R100-14R,RINGS 1/4 CBL MGMT 4PCS,$8.25,$1.00 ,1%,$1.00 ,1%,$5.52,US,1 Year
Leviton,5R1UE-OPX,PNL 1U 500I EMPTY,$71.69,$1.00 ,1%,$1.00 ,1%,$41.78,US,1 Year
Leviton,5R1UH-S03,ENCL TRAY ACC3 +CVR 1RU,$294.23,$1.00 ,1%,$1.00 ,1%,$196.67,US,1 Year
Leviton,5R1UH-S08,ENCL 1U ULTRA HD W/TRY,$430.25,$1.00 ,1%,$1.00 ,1%,$225.91,US,1 Year
Leviton,5R1UL-CMT,CBLE MGR 1U OPTX 500I,$56.19,$1.00 ,1%,$1.00 ,1%,$31.59,US,1 Year
Leviton,5R1UL-F03,ENCL 1U 500I 3PLTS,$128.10,$1.00 ,1%,$1.00 ,1%,$72.01,US,1 Year
Leviton,5R1UM-F03,ENCL 1U 1000I  3PLTS,$219.34,$1.00 ,1%,$1.00 ,1%,$123.30,US,1 Year
Leviton,5R1UM-S03,ENCL 1U 1000I+TRY 3PLTS,$286.26,$1.00 ,1%,$1.00 ,1%,$160.92,US,1 Year
Leviton,5R1UM-S08,ENCL 1U 1000I HD W/TRY,$314.89,$1.00 ,1%,$1.00 ,1%,$183.49,US,1 Year
Leviton,5R1UR-TRY,TRAY RETRO 1U 1000I,$127.34,$1.00 ,1%,$1.00 ,1%,$78.11,US,1 Year
Leviton,5R2UH-S06,ENCL TRAY ACC6 +CVR 2RU,$387.14,$1.00 ,1%,$1.00 ,1%,$258.77,US,1 Year
Leviton,5R2UH-S16,ENCL 2U ULTRA HD W/TRY,$569.10,$1.00 ,1%,$1.00 ,1%,$298.81,US,1 Year
Leviton,5R2UL-CMT,CBLE MGR 2/3U OPTX 500I,$69.66,$1.00 ,1%,$1.00 ,1%,$39.16,US,1 Year
Leviton,5R2UL-F06,ENCL 2U 500I 6PLTS,$161.23,$1.00 ,1%,$1.00 ,1%,$90.63,US,1 Year
Leviton,5R2UM-F06,ENCL 2U 1000I 6PLTS,$281.36,$1.00 ,1%,$1.00 ,1%,$158.17,US,1 Year
Leviton,5R2UM-S06,ENCL 2U 1000I+TRY 6PLTS,$360.23,$1.00 ,1%,$1.00 ,1%,$202.50,US,1 Year
