Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Leviton,6110G-RC6,JACK C6A CR            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RE6,JACK C6A BK            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RG6,JACK C6A GY            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RI6,JACK C6A IV            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RL6,JACK C6A BL            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RO6,JACK C6A OR            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RP6,JACK C6A PU            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RR6,JACK C6A RD            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RT6,JACK C6A LA            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RV6,JACK C6A GN            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RW6,JACK C6A WH            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,6110G-RY6,JACK C6A YL            ,$18.14 ,$7.75,1%,$1 ,1%,$9.45,US,1 Year
Leviton,61110-BB6,JACK C6+ 25PK BN       ,$230.88 ,$101.42,1%,$1 ,1%,$123.68,US,1 Year
Leviton,61110-BC6,JACK C6+ 25PK CR       ,$230.88 ,$101.42,1%,$1 ,1%,$123.68,US,1 Year
Leviton,61110-BE6,JACK C6+ 25PK BK       ,$230.88 ,$101.42,1%,$1 ,1%,$123.68,US,1 Year
