Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealer's Discount (% from list),Proposed GSA Price (w/o IFF fee),GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
ORTRONICS,PHD66U96,"96PORT,110/6PORT PANEL CAT6 HD","$1,049.08 ",$524.54 ,50%,$644.52 ,39%,$639.68 ,USA,1 Year
ORTRONICS,PHD68U24,"24PORT,110/8PORT PANEL CAT6 HD",$272.42 ,$136.21 ,50%,$167.36 ,39%,$166.11 ,USA,1 Year
ORTRONICS,PHD68U48,"48PORT,110/8PORT PANEL CAT6 HD",$537.86 ,$268.93 ,50%,$330.44 ,39%,$327.96 ,USA,1 Year
ORTRONICS,PHD68U96,"96PORT,110/8PORT PANEL CAT6 HD","$1,059.18 ",$529.59 ,50%,$650.72 ,39%,$645.84 ,USA,1 Year
ORTRONICS,PHD6FF24,"24PORT,RJ45 FEEDTHRU PNL",$422.32 ,$211.16 ,50%,$259.46 ,39%,$257.51 ,USA,1 Year
ORTRONICS,PHDPJU24,"24PORT,PJ,PANEL KIT,FLAT",$76.40 ,$38.20 ,50%,$46.94 ,39%,$46.59 ,USA,1 Year
ORTRONICS,PHDPJU48,"48PORT,PJ,PANEL KIT,FLAT",$99.54 ,$49.77 ,50%,$61.15 ,39%,$60.70 ,USA,1 Year
ORTRONICS,PHDPJU72,"72PORT,PJ,PANEL KIT,FLAT",$115.76 ,$57.88 ,50%,$71.12 ,39%,$70.59 ,USA,1 Year
ORTRONICS,PHDTJA24,24PORT 10G TJ PANEL KIT,$103.20 ,$51.60 ,50%,$63.40 ,39%,$62.93 ,USA,1 Year
ORTRONICS,PHDTJS24,"24PORT,PANEL KIT FOR SHIELDED",$133.02 ,$66.51 ,50%,$81.72 ,39%,$81.11 ,USA,1 Year
ORTRONICS,PJ5E00-00,"PANELJACK,CAT5E,CLARITY,568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ5E00-36,"PANELJACK.C5E,CLARITY,T568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ5E00-42,"PANELJACK.C5E,CLARITY,T568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ5E00-43,"PANELJACK.C5E,CLARITY,T568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ5E00-44,"PANELJACK.C5E,CLARITY,T568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ5E00-45,"PANELJACK.C5E,CLARITY,T568A/B",$7.02 ,$3.51 ,50%,$4.31 ,39%,$4.28 ,USA,1 Year
ORTRONICS,PJ600-00,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-36,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-42,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-43,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-44,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-45,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-78,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PJ600-88,"PANELJACK,CAT6,CLARITY,T568A/B",$11.24 ,$5.62 ,50%,$6.91 ,39%,$6.85 ,USA,1 Year
ORTRONICS,PMD5EU481U,"48PORT,CLARITY5E,1RU,FLAT PNL",$428.82 ,$214.41 ,50%,$263.45 ,39%,$261.48 ,USA,1 Year
ORTRONICS,PMD6U481U,"48PORT,CLARITY6,1RU,FLAT PNL",$569.50 ,$284.75 ,50%,$349.88 ,39%,$347.26 ,USA,1 Year
ORTRONICS,PMDU481U,"48PORT,UNLOADED,1RU,FLAT,PANEL",$76.40 ,$38.20 ,50%,$46.94 ,39%,$46.59 ,USA,1 Year
ORTRONICS,PMP5E1289,"12PORT,110,MINI PATCH 89D",$109.50 ,$54.75 ,50%,$67.27 ,39%,$66.77 ,USA,1 Year
ORTRONICS,PMP5E12H,"12PORT,110,HINGED MINI PATCH",$147.32 ,$73.66 ,50%,$90.51 ,39%,$89.83 ,USA,1 Year
