Manufacturer,MFR Part #,Product Description,Retail / MSRP,Dealer Actual Cost,Dealers Discount from list,Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List,Proposed GSA Price (with IFF of .75%),Country of Origin,Warranty
Ortronics,TJSN6-44,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6-45,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6-68,TRACJACK CLARITY SNAP CAT6,$11.12 ,$5.56 ,50%,$6.83 ,39%,$6.78 ,MX,1 Year
Ortronics,TJSN6A-09,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-36,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-42,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-43,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-44,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-45,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJSN6A-68,TRACJACK CLARITY SNAP CAT6A,$16.48 ,$8.24 ,50%,$10.12 ,39%,$10.05 ,MX,1 Year
Ortronics,TJS5E00,"TRACJACK,CAT5E,CLARITY,FTP",$10.44 ,$5.22 ,50%,$6.41 ,39%,$6.37 ,MX,1 Year
Ortronics,TJS6A,"TRACJACK,CAT6A,CLARITY,FTP",$16.96 ,$8.48 ,50%,$10.42 ,39%,$10.34 ,MX,1 Year
Ortronics,TJS600,"TRACJACK,CAT6,CLARITY,FTP",$13.98 ,$6.99 ,50%,$8.59 ,39%,$8.52 ,MX,1 Year
Ortronics,TJ5E00,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-00,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-13,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-22,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-23,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-24,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
Ortronics,TJ5E00-25,"TRACJACK,C5E,CLARITY,T568A/B",$7.30 ,$3.65 ,50%,$4.48 ,39%,$4.45 ,MX,1 Year
